drug_name,num_prescriber,total_cost
HEPARIN SODIUM,89,175404.030000
FLUPHENAZINE DECANOATE,54,174536.960000
PLEGRIDY PEN,2,174394.910000
MEGACE ES,9,173762.880000
SILENOR,30,172295.560000
BICALUTAMIDE,158,171422.960000
TROSPIUM CHLORIDE,69,171181.410000
PROPAFENONE HCL,175,170953.760000
BOTOX,3,170910.620000
TESTOSTERONE,19,170909.870000
METAXALONE,44,170409.710000
RAYOS,4,170229.790000
GEODON,16,169592.860000
CLINDAMYCIN HCL,881,169430.380000
VALPROIC ACID,255,169318.000000
GATIFLOXACIN,21,168649.800000
NPLATE,1,166743.190000
CANDESARTAN CILEXETIL,96,166251.740000
EMTRIVA,21,165775.140000
APIDRA,22,165763.660000
CAPRELSA,1,165193.510000
EFFEXOR XR,28,165110.420000
OMEPRAZOLE-SODIUM BICARBONATE,23,164588.890000
NOVOFINE 32,147,164066.530000
TROSPIUM CHLORIDE ER,34,163949.910000
BROMOCRIPTINE MESYLATE,40,162467.440000
KLOR-CON 10,310,162207.620000
INVIRASE,6,160912.590000
HYDROCORTISONE VALERATE,49,160253.000000
PENNSAID,5,160086.790000
HALOBETASOL PROPIONATE,43,160033.160000
EDECRIN,11,159930.460000
EMEND,10,159570.800000
ZYKADIA,1,158371.920000
TYKERB,2,158010.880000
JADENU,2,157451.040000
ITRACONAZOLE,13,157446.100000
MESTINON,8,156087.770000
LITHIUM CARBONATE,500,155540.450000
HYDROXYZINE PAMOATE,364,155506.430000
AURYXIA,8,154717.050000
DILT-XR,210,154498.040000
CLARITHROMYCIN,142,154365.900000
CLOZARIL,7,154156.690000
TEGRETOL,48,152936.320000
SULFASALAZINE,192,151708.940000
DOCETAXEL,4,151201.260000
TIAGABINE HCL,17,150290.130000
NEOMYCIN-POLYMYXIN-DEXAMETH,195,150042.510000
PENTOXIFYLLINE,251,149285.390000
EXALGO,7,147949.150000
NOVOFINE AUTOCOVER,83,147526.530000
TOBRADEX,29,146889.520000
SILVER SULFADIAZINE,183,146237.130000
BETAMETHASONE VALERATE,86,144711.520000
JANTOVEN,425,143919.030000
MYSOLINE,4,143496.740000
ALOXI,3,142727.890000
OXTELLAR XR,11,142645.170000
LEXAPRO,41,141668.250000
DEXAMETHASONE,369,141369.120000
KEYTRUDA,1,140896.980000
TRAMADOL HCL ER,65,139973.190000
ATIVAN,6,138956.900000
IRBESARTAN-HYDROCHLOROTHIAZIDE,170,138677.510000
FLUDROCORTISONE ACETATE,326,137969.230000
EVOTAZ,4,136203.910000
CHLORHEXIDINE GLUCONATE,614,135970.950000
VERAPAMIL HCL,281,134490.350000
ZELBORAF,1,132922.950000
LITHIUM CARBONATE ER,243,132792.390000
HORIZANT,12,132412.390000
GENTAMICIN SULFATE,169,132269.880000
HALOPERIDOL DECANOATE 100,52,132145.500000
BUPRENORPHINE HCL,46,132117.800000
NISOLDIPINE,39,130633.880000
MERCAPTOPURINE,52,128205.380000
RISPERDAL,10,128049.640000
CYCLOSPORINE MODIFIED,33,127445.220000
ACARBOSE,117,126778.690000
RABEPRAZOLE SODIUM,113,125936.660000
EXTAVIA,3,125258.770000
ALCOHOL PADS,127,125198.710000
DOXYCYCLINE MONOHYDRATE,232,124830.560000
ZAFIRLUKAST,73,124424.920000
THIOTHIXENE,80,123547.780000
FLUPHENAZINE HCL,220,123201.490000
PERFOROMIST,12,122742.370000
FLUVOXAMINE MALEATE,198,122077.590000
SURE COMFORT,144,121921.800000
GABITRIL,10,121856.080000
TYSABRI,2,120880.030000
METHIMAZOLE,340,119929.320000
SODIUM CHLORIDE,170,118591.660000
MIRAPEX ER,15,116982.420000
PROCTOSOL-HC,111,116732.910000
MOXIFLOXACIN HCL,56,115070.890000
EPOGEN,10,114066.560000
PIROXICAM,79,113561.000000
PROGESTERONE,78,113028.030000
OXYMORPHONE HCL,27,112861.820000
EDARBI,38,112248.160000
RIZATRIPTAN,128,112209.060000
LOTRONEX,3,112072.220000
ANDRODERM,14,112042.470000
EDARBYCLOR,31,110607.670000
TEFLARO,3,109724.460000
GAVILYTE-N,99,108915.290000
ESTRING,20,108900.620000
FENTORA,1,108317.180000
VALCHLOR,1,108179.640000
SULFASALAZINE DR,52,107376.710000
OLOPATADINE HCL,13,107332.680000
ALFUZOSIN HCL ER,191,107119.640000
OXAPROZIN,35,106879.950000
CELLCEPT,5,106466.700000
MYFORTIC,7,106352.090000
CLORAZEPATE DIPOTASSIUM,209,106249.740000
TRIFLUOPERAZINE HCL,77,106187.930000
BROVANA,12,106151.420000
LUNESTA,21,105819.020000
INTRALIPID,11,105787.690000
ANAGRELIDE HCL,41,105265.980000
AMBIEN,17,105093.730000
CUPRIMINE,1,104746.380000
OXALIPLATIN,3,104074.210000
MINOCYCLINE HCL,178,103286.200000
BISOPROLOL-HYDROCHLOROTHIAZIDE,372,102565.990000
IMIQUIMOD,30,102001.540000
NAPROXEN SODIUM,116,100473.990000
PEG 3350-ELECTROLYTE,129,100370.250000
OLANZAPINE-FLUOXETINE HCL,18,99792.400000
ULTICARE,112,99706.510000
CEFPODOXIME PROXETIL,55,99528.290000
K-TAB ER,77,99478.450000
SYMLINPEN 120,6,98518.340000
SELEGILINE HCL,40,98232.920000
BACITRACIN,45,98032.790000
NORDITROPIN FLEXPRO,3,97024.370000
DEMECLOCYCLINE HCL,20,96942.900000
PERJETA,1,96724.560000
MOMETASONE FUROATE,172,96249.830000
NAFTIN,14,96217.870000
CEFEPIME HCL,33,95875.900000
NEURONTIN,16,95800.170000
UNIFINE PENTIPS,186,95356.130000
AUTOSHIELD DUO PEN NEEDLE,57,95205.410000
DUTASTERIDE,19,94309.090000
RELISTOR,9,93677.490000
VIRACEPT,7,93356.770000
DILTIAZEM 12HR ER,60,93319.980000
GLYCOPYRROLATE,98,93108.100000
CABERGOLINE,40,93026.380000
DEXTROAMPHETAMINE SULFATE ER,25,92999.880000
NYAMYC,100,92654.500000
NICARDIPINE HCL,15,92358.220000
DIOVAN HCT,28,92296.140000
INDERAL LA,6,92227.290000
ACIPHEX,12,90770.700000
TRETINOIN,34,90765.510000
RIBAVIRIN,24,90247.720000
GLYBURIDE-METFORMIN HCL,193,90169.340000
TOBI PODHALER,1,90063.130000
LOPERAMIDE,264,89177.040000
TESTIM,8,87504.660000
DICLOFENAC SODIUM-MISOPROSTOL,37,87106.300000
HYDROCODONE-IBUPROFEN,105,86970.890000
ZIOPTAN,21,86936.020000
KINERET,2,86655.050000
GAVILYTE-G,124,86459.750000
RISEDRONATE SODIUM DR,17,86198.770000
MINOXIDIL,231,86192.770000
FLUOCINOLONE ACETONIDE OIL,21,86023.520000
FRAGMIN,3,85950.620000
SANDOSTATIN LAR DEPOT,1,85775.750000
HUMIRA PEN PSORIASIS,1,85747.180000
ETODOLAC ER,26,85341.470000
TAZTIA XT,151,84987.750000
TANZEUM,14,84239.120000
ALREX,17,83718.610000
CYCLOSET,9,83435.640000
INDAPAMIDE,216,82563.330000
KIONEX,65,82441.910000
LAMICTAL ODT,5,81901.480000
OCTREOTIDE ACETATE,8,81735.400000
SANDOSTATIN LAR,1,81188.990000
METHAZOLAMIDE,14,80562.730000
TIROSINT,18,80482.120000
CARBATROL,22,80233.310000
EGRIFTA,2,79728.600000
SAIZEN,3,79012.070000
FASLODEX,2,78859.290000
MEDROXYPROGESTERONE ACETATE,196,78307.490000
CLINISOL,14,76665.810000
AMBIEN CR,17,75727.590000
ZEGERID,5,75511.360000
EVISTA,23,73835.610000
SPS,64,73586.240000
CROMOLYN SODIUM,33,73467.550000
LEVALBUTEROL HCL,27,73318.730000
JUBLIA,8,72990.790000
XALATAN,24,72370.430000
KETOPROFEN,7,72258.580000
PICATO,4,71843.070000
SULINDAC,146,71719.620000
TRAVOPROST,19,70759.440000
RILUZOLE,13,70538.090000
SANCUSO,4,70475.030000
MEXILETINE HCL,31,70128.980000
SODIUM POLYSTYRENE SULFONATE,35,70041.420000
BROMFENAC SODIUM,19,69921.320000
ZELAPAR,2,69597.550000
ERYPED 200,5,69567.900000
NALTREXONE HCL,56,69531.570000
VECTIBIX,1,69070.720000
THIORIDAZINE HCL,76,68861.960000
RIDAURA,1,68573.620000
PROCHLORPERAZINE MALEATE,302,68046.470000
MYCAMINE,3,68005.960000
FLUVOXAMINE MALEATE ER,15,67718.790000
VERAPAMIL ER PM,56,67608.200000
NORVASC,37,67438.230000
DICLOFENAC SODIUM ER,103,67229.480000
CLOBETASOL EMOLLIENT,14,66991.010000
EPITOL,68,66949.110000
PINDOLOL,29,66891.710000
CYCLOPHOSPHAMIDE,6,66183.430000
ORACEA,4,65329.890000
OCTAGAM,1,64976.340000
LAMIVUDINE HBV,12,64540.160000
VERSACLOZ,2,63589.570000
ARICEPT,9,63277.840000
LOVENOX,10,63008.570000
LEVOXYL,64,61806.930000
MISOPROSTOL,60,61620.390000
DESIPRAMINE HCL,49,61521.660000
ERYPED 400,2,61491.800000
IMIPRAMINE HCL,169,61277.460000
ARMOUR THYROID,102,61156.410000
FOSINOPRIL SODIUM,242,60562.460000
PROZAC,8,60361.220000
GENOTROPIN,2,59933.930000
TIMOPTIC OCUDOSE,7,59616.690000
TRICOR,22,59138.740000
LOXAPINE,58,58756.280000
MONUROL,10,58709.180000
RIFAMPIN,48,58596.680000
ADACEL TDAP,52,58050.070000
RAPAMUNE,3,57828.550000
TRIHEXYPHENIDYL HCL,212,57703.350000
ASTAGRAF XL,2,57513.930000
TRIMETHOPRIM,114,57331.620000
DEXTROSE IN WATER,38,57302.190000
ADDERALL XR,13,57198.900000
NOVOFINE,57,57104.830000
DEXTROAMPHETAMINE SULFATE,21,56974.080000
ENULOSE,97,56490.400000
DANTROLENE SODIUM,30,56081.920000
NUTROPIN AQ NUSPIN,2,55567.960000
EXFORGE HCT,16,55549.430000
LINEZOLID,1,55548.400000
NEOMYCIN-POLYMYXIN-HYDROCORT,97,54982.330000
ETHAMBUTOL HCL,38,54806.720000
CYPROHEPTADINE HCL,78,54574.450000
OXAZEPAM,59,54486.100000
ZOVIRAX,4,54292.950000
OXANDROLONE,4,54118.710000
OTREXUP,5,53851.200000
SINGULAIR,18,53653.520000
DAPSONE,63,53381.780000
PROVIGIL,3,53159.090000
CYSTADANE,1,53055.870000
RIBASPHERE RIBAPAK,3,52037.600000
LIDOCAINE HCL,149,51555.460000
PENICILLIN V POTASSIUM,239,51229.120000
PIPERACILLIN-TAZOBACTAM,21,50697.180000
HUMATROPE,3,50536.960000
KLOR-CON 8,104,50297.340000
LESCOL XL,13,50161.630000
SOMATULINE DEPOT,1,50088.960000
NITROGLYCERIN,16,49763.450000
THEO-24,25,49494.720000
LEUKERAN,8,49401.200000
CYRAMZA,1,49362.080000
AZASITE,13,49180.440000
ISTALOL,14,48883.340000
ZALEPLON,97,48616.970000
BOOSTRIX TDAP,35,48350.990000
TERCONAZOLE,50,47919.570000
DIFLUNISAL,22,47736.680000
OPDIVO,1,47590.380000
MAXALT,3,47355.660000
BUTALBITAL-ASPIRIN-CAFFEINE,44,46877.760000
ZYPREXA ZYDIS,2,46421.700000
RIFABUTIN,4,46396.270000
DEPAKOTE SPRINKLE,8,46356.680000
ZOLOFT,11,46228.540000
VGO 40,7,45488.530000
DESLORATADINE,64,45386.490000
BETOPTIC S,11,45110.010000
CYSTARAN,1,44955.680000
QUINAPRIL-HYDROCHLOROTHIAZIDE,75,44750.620000
VICODIN ES,20,44419.350000
TRIAZOLAM,68,44256.240000
NEVIRAPINE,21,44157.150000
FLUNISOLIDE,21,44041.050000
ROXICODONE,3,43915.200000
BUTORPHANOL TARTRATE,37,43897.890000
LEVOCARNITINE,27,42555.660000
XANAX,10,42546.650000
AMILORIDE HCL,53,42529.740000
AXIRON,5,42474.830000
PEGASYS,1,42175.320000
PALIPERIDONE ER,5,42134.350000
ZOLEDRONIC ACID,6,42087.940000
AMRIX,2,41998.410000
BUTALB-CAFF-ACETAMINOPH-CODEIN,33,41984.100000
EASY TOUCH PEN NEEDLE,76,41822.500000
OXYTROL,6,41369.460000
PHENAZOPYRIDINE HCL,37,41344.110000
PEG-3350 AND ELECTROLYTES,86,41285.490000
ADEFOVIR DIPIVOXIL,4,41232.360000
NAMZARIC,7,41194.680000
VERAPAMIL SR,58,41069.230000
TENORMIN,9,41047.830000
MESALAMINE,9,40908.960000
NESINA,8,40563.080000
NICOTROL,8,40414.420000
CHOLESTYRAMINE LIGHT,28,40399.410000
STIOLTO RESPIMAT,5,40361.320000
NORCO,7,40312.510000
ZORTRESS,3,40182.680000
EASY COMFORT PEN NEEDLES,31,39777.950000
MICARDIS,11,39475.420000
LYSODREN,2,39396.510000
GENGRAF,9,39329.610000
FINACEA,11,39059.230000
LEVEMIR FLEXPEN,7,38967.910000
PANCREAZE,7,38903.120000
COSOPT PF,18,38397.200000
MEPROBAMATE,11,38147.160000
PLAQUENIL,6,38124.900000
GENERLAC,90,37951.270000
CEFADROXIL,87,37840.710000
PROPYLTHIOURACIL,43,37701.730000
BUTALBITAL COMPOUND-CODEINE,18,37664.040000
DIFICID,1,37562.350000
FARESTON,1,37121.180000
KAZANO,5,36982.050000
ZORVOLEX,10,36932.100000
FUSILEV,1,36710.140000
TERBINAFINE HCL,180,36607.640000
RIBASPHERE,12,36415.610000
INCRUSE ELLIPTA,7,36411.940000
ZOMIG,2,36359.390000
POTIGA,3,36315.300000
PATANASE,8,35948.300000
PREVALITE,23,35750.470000
GAVILYTE-C,47,35605.920000
ELIDEL,6,35185.510000
PROMETHEGAN,3,34694.190000
PIOGLITAZONE-GLIMEPIRIDE,4,34692.250000
LANOXIN,19,34677.400000
FUZEON,1,34639.220000
BEPREVE,9,34578.710000
PRANDIN,4,33843.910000
BIMATOPROST,3,33814.760000
NEFAZODONE HCL,23,33633.540000
VALIUM,7,33094.430000
QNASL,15,33045.940000
MARINOL,1,33008.880000
PRILOSEC,6,32960.060000
EMSAM,2,32376.080000
VALTREX,5,31883.940000
ENALAPRIL-HYDROCHLOROTHIAZIDE,134,31607.360000
ERYTHROCIN STEARATE,4,31553.990000
GEMCITABINE HCL,2,31522.730000
ACETYLCYSTEINE,30,31406.390000
ENTRESTO,5,31213.210000
NALFON,2,31203.010000
COZAAR,17,31089.320000
ISOSORBIDE MONONITRATE,120,31048.820000
SSD,67,31032.380000
ATOVAQUONE-PROGUANIL HCL,9,30749.330000
PULMICORT,3,30671.610000
CLONIDINE HCL ER,4,30521.470000
ENTOCORT EC,2,30521.150000
PENTAZOCINE-NALOXONE HCL,12,30252.400000
VGO 20,5,30158.480000
VGO 30,4,30071.420000
ESTRADIOL-NORETHINDRONE ACETAT,12,29968.100000
LASTACAFT,11,29785.730000
FENTANYL CITRATE,1,29768.800000
MATULANE,1,29570.250000
NIASPAN,10,29421.430000
ERY-TAB,6,29398.320000
FAMCICLOVIR,38,29371.570000
REGRANEX,2,29253.190000
SUMATRIPTAN,8,28902.520000
VIRAMUNE XR,3,28874.930000
METOPROLOL-HYDROCHLOROTHIAZIDE,41,28760.900000
FLUVASTATIN SODIUM,10,28591.840000
PROBENECID,48,28552.780000
FAMVIR,1,28540.680000
CEFEPIME,5,28492.470000
VIVITROL,2,28297.570000
NAFCILLIN SODIUM,3,27956.300000
NULOJIX,1,27809.270000
HYSINGLA ER,4,27546.310000
ACEBUTOLOL HCL,48,27484.490000
THEOPHYLLINE,27,27472.960000
COSOPT,6,27468.010000
ACAMPROSATE CALCIUM,10,27421.320000
LORTAB,1,27280.760000
APTIVUS,2,27196.260000
PERPHENAZINE-AMITRIPTYLINE,27,27014.480000
QUINIDINE GLUCONATE,5,26792.010000
MICARDIS HCT,9,26739.800000
AMILORIDE-HYDROCHLOROTHIAZIDE,47,26654.420000
EMBEDA,3,26649.590000
ZOLMITRIPTAN,15,26534.600000
PROGLYCEM,2,26358.920000
TOFRANIL-PM,1,26294.920000
VIVELLE-DOT,16,26126.110000
ZYLET,7,25901.640000
FLUOCINONIDE-E,8,25861.630000
INTUNIV,5,25726.090000
TEKTURNA HCT,12,25540.620000
DIFLORASONE DIACETATE,5,25527.490000
ARCAPTA NEOHALER,7,25232.800000
ESTAZOLAM,26,25213.820000
CEFPROZIL,24,25190.240000
ASTEPRO,6,25066.840000
ORPHENADRINE CITRATE,43,24966.150000
STALEVO 200,3,24869.870000
AMERGE,2,24852.600000
ZYCLARA,1,24820.780000
MATZIM LA,22,24625.160000
CANDESARTAN-HYDROCHLOROTHIAZID,18,24616.340000
PROAIR RESPICLICK,18,24598.210000
AVAPRO,10,24531.060000
ARIMIDEX,3,24479.510000
BETAXOLOL HCL,15,24462.790000
NEOMYCIN-POLYMYXIN-HC,38,24403.700000
NEORAL,7,24262.510000
CYCLOSPORINE,5,24040.360000
COREG,8,23931.160000
XARTEMIS XR,2,23881.030000
KLOR-CON,8,23833.450000
METHYLPHENIDATE LA,9,23806.400000
VIOKACE,1,23564.460000
PAXIL,6,23559.740000
TRANDOLAPRIL,70,23506.740000
STAXYN,3,23300.590000
SIMCOR,6,23297.960000
DETROL LA,8,23162.750000
ULTRAM,6,23105.970000
CIMETIDINE,58,23036.440000
CATAPRES-TTS 3,4,23008.630000
GELNIQUE,4,22878.380000
ATACAND,10,22834.180000
OSENI,5,22832.660000
PYRIDOSTIGMINE BROMIDE ER,2,22819.620000
CRIXIVAN,3,22642.890000
LEUCOVORIN CALCIUM,32,22590.880000
KLONOPIN,9,22307.130000
COMFORT EZ,22,22276.350000
ISORDIL,2,22214.290000
GRANISETRON HCL,8,22206.020000
DONEPEZIL HCL ODT,37,22120.640000
ZOSYN,4,22101.740000
LITHOBID,5,22019.090000
ADDERALL,4,21465.100000
TREXIMET,3,21270.370000
CARDIZEM CD,3,21215.860000
ZYMAXID,2,21212.420000
OXISTAT,2,21039.230000
MEPRON,1,20953.520000
CLIMARA,12,20951.140000
CAMBIA,2,20782.340000
ZIRGAN,3,20664.610000
POLYMYXIN B SUL-TRIMETHOPRIM,54,20228.400000
ZOHYDRO ER,4,20146.670000
DYRENIUM,6,20135.410000
PEN NEEDLE,63,20124.680000
RESTORIL,2,19956.250000
DIDANOSINE,7,19894.960000
BELSOMRA,8,19871.560000
AZTREONAM,4,19500.790000
ZIAGEN,2,19483.140000
ZEMPLAR,4,19468.420000
SANDOSTATIN,1,19275.350000
INDOMETHACIN,53,19256.470000
REXULTI,1,19138.660000
PEN NEEDLES,36,19108.300000
ZUBSOLV,4,19087.780000
CEFAZOLIN SODIUM,15,19076.270000
ETHOSUXIMIDE,10,19059.440000
ERYTHROMYCIN ETHYLSUCCINATE,4,19056.750000
COLISTIMETHATE,2,19053.400000
NAPROXEN SODIUM CR,1,19014.050000
AMPICILLIN-SULBACTAM,11,18830.220000
ISRADIPINE,10,18818.470000
ACTOS,3,18748.100000
SULFADIAZINE,4,18732.540000
ALTOPREV,3,18683.610000
CADUET,5,18628.540000
MOVANTIK,5,18532.590000
SOMA,2,18411.310000
INNOPRAN XL,2,18344.160000
DUTASTERIDE-TAMSULOSIN,1,18158.520000
GLEOSTINE,3,17936.770000
HYZAAR,9,17836.060000
IRINOTECAN HCL,2,17731.040000
CELEXA,7,17708.180000
HALOPERIDOL LACTATE,37,17688.290000
AMIKACIN SULFATE,10,17548.200000
ADVICOR,6,17504.570000
AMPICILLIN SODIUM,7,17455.610000
NICOTROL NS,3,17368.630000
NARATRIPTAN HCL,15,17320.150000
DESVENLAFAXINE ER,7,17233.480000
CONCERTA,3,17185.470000
LEVOBUNOLOL HCL,43,17025.890000
FORTICAL,15,17004.130000
FROVA,2,16903.570000
SALSALATE,5,16826.640000
PHOSLYRA,5,16794.270000
PRED FORTE,5,16569.880000
ALVESCO,4,16399.260000
GRANIX,1,16233.500000
ZOLADEX,1,16139.370000
SODIUM BICARBONATE,15,16092.340000
MS CONTIN,2,15793.770000
ALCLOMETASONE DIPROPIONATE,9,15746.440000
STAVUDINE,7,15659.680000
PROBENECID-COLCHICINE,24,15634.330000
ZIPSOR,2,15563.030000
PHENYTEK,17,15370.070000
EQUETRO,3,15358.460000
CEFTAZIDIME,11,15356.910000
E.E.S. 200,2,15325.780000
ALPRAZOLAM ER,32,15270.270000
DISOPYRAMIDE PHOSPHATE,14,15183.310000
PAZEO,6,15182.780000
DENAVIR,2,15177.250000
NOVOTWIST,16,15139.460000
IMIPRAMINE PAMOATE,4,14946.250000
RYTHMOL SR,2,14938.880000
AROMASIN,1,14906.630000
IMIPENEM-CILASTATIN SODIUM,5,14852.940000
DEFEROXAMINE MESYLATE,1,14825.260000
ZOCOR,5,14821.390000
WELLBUTRIN SR,4,14768.780000
UROXATRAL,2,14714.760000
LORZONE,2,14699.420000
DANAZOL,3,14658.420000
CHLORZOXAZONE,27,14612.320000
MOEXIPRIL HCL,25,14601.700000
TOBRAMYCIN,54,14444.730000
TRANYLCYPROMINE SULFATE,4,14342.690000
MYCOBUTIN,1,14221.550000
SYMLINPEN 60,2,14002.990000
CARDIZEM LA,7,13954.780000
STALEVO 150,2,13921.570000
TERBUTALINE SULFATE,8,13772.270000
GLUCOPHAGE XR,10,13756.070000
ATROPINE SULFATE,26,13724.930000
SUMAVEL DOSEPRO,1,13688.160000
BUTALB-ACETAMINOPH-CAFF-CODEIN,2,13642.900000
CAPTOPRIL-HYDROCHLOROTHIAZIDE,12,13540.020000
MIMVEY,8,13524.120000
SOTALOL AF,36,13457.470000
COMBIPATCH,7,13394.340000
DEXMETHYLPHENIDATE HCL ER,5,13352.990000
LOCOID,1,13308.120000
MODERIBA,1,13287.780000
LIDOCAINE HCL VISCOUS,62,13241.170000
ELIGARD,2,13182.980000
SINGLE USE SWAB,155,13092.920000
TRAVASOL,6,13056.990000
URSO FORTE,2,12964.840000
PAXIL CR,5,12943.570000
QUININE SULFATE,5,12835.420000
DEXAMETHASONE SODIUM PHOSPHATE,22,12751.250000
CALCIPOTRIENE-BETAMETHASONE DP,1,12716.310000
RASUVO,1,12715.230000
METHAMPHETAMINE HCL,1,12689.770000
VITAMIN D2,57,12627.100000
MINIVELLE,9,12624.210000
VANCOMYCIN,8,12620.270000
LOTREL,4,12472.110000
KERYDIN,1,12468.960000
LEVITRA,4,12373.060000
MONOJECT INSULIN SYRINGE,17,12359.110000
CATAPRES-TTS 2,3,12309.120000
PARNATE,1,12299.480000
NEOMYCIN SULFATE,22,12274.570000
TRUEPLUS INSULIN SYRINGE,28,12236.050000
DEPO-TESTOSTERONE,16,12215.200000
FLURBIPROFEN SODIUM,12,12068.060000
TYZEKA,1,11846.010000
FLURAZEPAM HCL,34,11839.090000
PEXEVA,1,11838.150000
NORETHINDRONE ACETATE,9,11792.960000
OXACILLIN SODIUM,1,11747.600000
VICODIN,9,11733.540000
BONIVA,5,11718.740000
ALTACE,5,11648.240000
TYGACIL,1,11639.530000
CEFOXITIN,3,11619.070000
CARBOPLATIN,6,11587.450000
BETIMOL,7,11510.270000
LIPOFEN,4,11398.610000
METHOTREXATE SODIUM,34,11290.360000
ZIDOVUDINE,15,11231.290000
GUANFACINE HCL,55,11183.750000
OSMOPREP,4,11158.130000
DIPYRIDAMOLE,33,11026.640000
SINEMET CR,2,10923.400000
PROTOPIC,1,10915.080000
EASY TOUCH,28,10902.510000
REMERON,5,10764.980000
AVALIDE,4,10717.810000
FOLIC ACID,66,10716.050000
OPIUM TINCTURE,2,10700.450000
HYDROCORTISONE-ACETIC ACID,7,10640.390000
FOCALIN XR,2,10581.350000
DILAUDID,3,10513.980000
PACERONE,9,10503.320000
AZACTAM,1,10502.740000
E.E.S. 400,2,10469.860000
TRILIPIX,4,10422.800000
BECONASE AQ,4,10387.200000
ORAP,4,10189.680000
TIGAN,3,10155.110000
DILANTIN-125,6,10080.180000
OMNITROPE,1,10064.750000
COMBIVIR,1,10007.650000
EASY COMFORT INSULIN SYRINGE,8,9856.300000
PHENELZINE SULFATE,11,9853.020000
SAVAYSA,3,9792.770000
AVELOX,1,9771.720000
ELIPHOS,3,9662.160000
DIPHENHYDRAMINE HCL,20,9659.010000
"PANCRELIPASE 5000",10,9618.240000
AZELEX,2,9561.730000
PHENADOZ,3,9481.060000
AFEDITAB CR,25,9325.240000
NITRO-DUR,5,9324.560000
RITALIN LA,3,9303.850000
CLICKFINE,27,9167.140000
CYSTAGON,2,9108.110000
BINOSTO,5,9041.540000
ACZONE,2,9031.690000
GLUCOPHAGE,9,9009.600000
POLYMYXIN B SULFATE,4,8980.570000
BETAPACE,1,8957.540000
FENOPROFEN CALCIUM,1,8908.410000
LEVOFLOXACIN-D5W,7,8894.280000
ULTRACET,2,8854.190000
TOPIRAMATE ER,1,8764.800000
VERAMYST,4,8760.970000
CONSTULOSE,16,8620.300000
TREZIX,1,8525.390000
DESONATE,1,8516.590000
LEVAQUIN,1,8479.450000
HYOSCYAMINE SULFATE,13,8459.040000
EDLUAR,2,8409.700000
NITROLINGUAL,2,8334.330000
FLURBIPROFEN,19,8309.550000
EPIVIR,4,8281.430000
RIFADIN,1,8254.490000
METHYLPHENIDATE HCL CD,3,8232.120000
AMOXAPINE,6,8188.370000
ASCOMP WITH CODEINE,9,8146.800000
DICLOXACILLIN SODIUM,14,8060.550000
ARTHROTEC 75,2,8005.040000
PREPOPIK,5,7986.070000
TOFRANIL,1,7948.980000
HYDROCORTISONE BUTYRATE,3,7927.350000
STALEVO 100,1,7925.520000
PENICILLIN G SODIUM,1,7923.800000
NIZATIDINE,28,7869.210000
JINTELI,10,7845.690000
GLYXAMBI,1,7838.100000
EPINASTINE HCL,7,7827.580000
TARKA,4,7793.830000
MIRAPEX,3,7612.980000
CODEINE SULFATE,8,7563.700000
DARAPRIM,1,7559.830000
FEMARA,1,7557.220000
CLARITHROMYCIN ER,8,7469.450000
PACLITAXEL,5,7429.700000
PREVNAR 13,2,7429.450000
ZITHROMAX,1,7335.190000
FLUTAMIDE,3,7077.320000
EVOXAC,1,7066.420000
FOSINOPRIL-HYDROCHLOROTHIAZIDE,9,7063.140000
AKYNZEO,1,7059.250000
DOXY 100,1,7057.850000
DEXTROSE 5%-0.45% NACL,15,6890.160000
ALINIA,2,6792.880000
AMPICILLIN TRIHYDRATE,48,6789.180000
LORAZEPAM INTENSOL,12,6549.580000
KRISTALOSE,2,6528.480000
MENEST,11,6519.470000
PRUDOXIN,1,6465.040000
CASODEX,1,6413.760000
TREXALL,1,6382.340000
XENICAL,1,6304.200000
CLIMARA PRO,4,6279.680000
PROCARDIA XL,2,6252.180000
PHOSPHA 250 NEUTRAL,15,6232.760000
PHENYTOIN SODIUM,1,6177.020000
ERYTHROMYCIN-BENZOYL PEROXIDE,4,6168.300000
MIGERGOT,1,6162.720000
LACRISERT,1,6159.000000
SULFACETAMIDE SODIUM,9,6024.700000
AXERT,1,6022.940000
AVINZA,1,6006.480000
FOSAMAX PLUS D,2,6005.010000
GALANTAMINE HYDROBROMIDE,1,6004.130000
CALAN SR,2,5979.600000
GUANFACINE HCL ER,3,5955.370000
CYANOCOBALAMIN INJECTION,8,5952.000000
CHLORDIAZEPOXIDE-AMITRIPTYLINE,7,5951.950000
CHLORDIAZEPOXIDE HCL,47,5915.360000
AMOXICILLIN-CLAVULANATE POT ER,2,5836.430000
DILATRATE-SR,2,5776.140000
VINORELBINE TARTRATE,2,5756.580000
RENACIDIN,4,5594.950000
SINEMET 25-250,2,5538.560000
ACETIC ACID,16,5522.080000
ULTRA COMFORT,24,5501.640000
FML FORTE,2,5490.380000
PAREGORIC,2,5481.170000
MONOJECT INSULIN SAFETY SYRNG,11,5435.540000
TRILYTE WITH FLAVOR PACKETS,16,5418.830000
DYAZIDE,8,5417.910000
COARTEM,1,5385.400000
PRENATAL PLUS,27,5366.080000
RHINOCORT AQUA,3,5357.980000
ZARONTIN,2,5271.450000
GLYSET,3,5268.470000
GLYBURIDE MICRONIZED,22,5266.640000
DISULFIRAM,6,5258.380000
